1024
FIFO overflow!
cm 16420
ry 1
rp 4
rr 3
ay 1
ap -72
ar -24
chp 0
chr 0
chy 0
bs 1330
m1 1325
m2 1330
gy 6
gp 21
gr 15
y 754
p 3
r -1
cm 17772
ry 1
rp 5
rr 0
ay 1
ap -72
ar -24
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1334
gy -21
gp 1
gr 111
y 755
p 3
r -2
cm 19122
ry 2
rp 4
rr 3
ay 2
ap -72
ar -48
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1329
gy -8
gp 0
gr 11
y 755
p 3
r -2
cm 20470
ry 2
rp 3
rr 6
ay 2
ap -72
ar -72
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1328
gy 1
gp -3
gr 2
y 755
p 3
r -3
cm 21820
ry 2
rp 4
rr 5
ay 2
ap -72
ar -72
chp 0
chr 0
chy 0
bs 1330
m1 1325
m2 1326
gy 1
gp 0
gr 0
y 755
p 2
r -4
cm 23168
ry 2
rp 3
rr 6
ay 2
ap -48
ar -72
chp 0
chr 0
chy 0
bs 1330
m1 1326
m2 1326
gy 0
gp 0
gr -1
y 755
p 2
r -4
cm 24514
ry 2
rp 4
rr 3
ay 2
ap -72
ar -72
chp 0
chr 0
chy 0
bs 1330
m1 1327
m2 1322
gy 11
gp -15
gr -7
y 755
p 2
r -4
cm 25863
ry 2
rp 5
rr 9
ay 2
ap -24
ar -120
chp 0
chr 0
chy 0
bs 1330
m1 1325
m2 1334
gy -7
gp -61
gr 56
y 754
p 2
r -2
cm 27209
ry 1
rp 5
rr 12
ay 1
ap 0
ar -144
chp 0
chr 0
chy 0
bs 1330
m1 1348
m2 1319
gy 32
gp -86
gr 76
y 747
p -3
r -11
cm 28552
ry -5
rp -5
rr 41
ay -3
ap 168
ar -192
chp 0
chr 0
chy 0
bs 1330
m1 1349
m2 1319
gy -23
gp 197
gr 93
y 752
p -4
r -7
cm 29896
ry 2
rp 37
rr 16
ay 3
ap -456
ar -120
chp 0
chr 0
chy 0
bs 1330
m1 1276
m2 1306
gy -19
gp 179
gr -43
y 757
