1024
FIFO overflow!
cm 16558
ry -1
rp 1
rr -22
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 17575
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 18653
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 19636
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 20715
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 21742
ry -1
rp 1
rr -24
ay 1
ap 25
ar -400
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 0
gr 2
y 743
p -1
r 2
cm 22750
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 23830
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 24810
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 25868
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 26914
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 27914
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 28997
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 29995
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 2
gr 2
y 743
p -1
r 2
cm 31032
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 32092
ry -1
rp 1
rr -24
ay 1
ap 24
ar -384
chp 0
chr -18
chy 0
bs 1330
m1 1330
m2 1307
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 33123
ry -1
rp 1
rr -29
ay 1
ap 29
ar -472
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 34378
ry -1
rp 1
rr -28
ay 1
ap 26
ar -468
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 35549
ry -1
rp 1
rr -29
ay 1
ap 29
ar -472
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 36795
ry -1
rp 1
rr -29
ay 1
ap 25
ar -450
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 37977
ry -1
rp 1
rr -29
ay 1
ap 26
ar -468
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 39194
ry -1
rp 1
rr -28
ay 1
ap 46
ar -828
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 40412
ry -1
rp 1
rr -28
ay 1
ap 47
ar -846
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 41615
ry -1
rp 1
rr -28
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 42850
ry -1
rp 1
rr -29
ay 1
ap 45
ar -824
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 44030
ry -1
rp 1
rr -29
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 0
gr 2
y 743
p -1
r 2
cm 45291
ry -1
rp 1
rr -29
ay 1
ap 46
ar -838
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 46475
ry -1
rp 1
rr -28
ay 1
ap 46
ar -831
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 3
y 743
p -1
r 2
cm 47735
ry -1
rp 1
rr -28
ay 1
ap 45
ar -824
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 2
gr 2
y 743
p -1
r 2
cm 48906
ry -1
rp 1
rr -29
ay 1
ap 47
ar -846
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 50162
ry -1
rp 1
rr -28
ay 1
ap 46
ar -831
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 51354
ry -1
rp 1
rr -30
ay 1
ap 47
ar -853
chp 0
chr -20
chy 0
bs 1330
m1 1331
m2 1302
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 52611
ry -1
rp 1
rr -28
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 53813
ry -1
rp 1
rr -29
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 55029
ry -1
rp 1
rr -28
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 56266
ry -1
rp 1
rr -29
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 57456
ry -1
rp 1
rr -28
ay 1
ap 46
ar -831
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 58704
ry -1
rp 1
rr -28
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 59893
ry -1
rp 1
rr -29
ay 1
ap 46
ar -838
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 61144
ry -1
rp 1
rr -28
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 62321
ry -1
rp 1
rr -29
ay 1
ap 46
ar -838
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 2
y 743
p -1
r 2
cm 63581
ry -1
rp 1
rr -28
ay 1
ap 46
ar -831
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 64768
ry -1
rp 1
rr -29
ay 1
ap 46
ar -831
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1302
gy 0
gp 1
gr 1
y 743
p -1
r 2
cm 66011
ry -1
rp 1
rr -29
ay 1
ap 45
ar -817
chp 0
chr -20
chy 0
bs 1330
m1 1330
m2 1303
gy 0
gp 1
gr 1
y 743
##########yaw_average^prec : 1
throttle_min^max : 1600
y_a_c^cur : 50
y_a_kp^max : 10.0
a_i_c^max : 1000
gyro^cur : 0.3
ch_throttle^cur : 0.9
y_a_i_c^cur : 0
yaw_effect^max : 100
roll_effect^cur : 50
y_a_kp^prec : 1
ch_angle^max : 1.0
y_r_c^cur : 0
ch_angle^min : 0.0
a_ki^cur : 0.4
y_r_kp^cur : 0
ar_m^max : 150
a_i_c^cur : 500
r_ki^max : 0.0010
pitch_effect^max : 50
throttle_max^min : 1600
yaw_average^cur : 0.9
gyro^max : 1.0
a_i_c^min : 0
a_c^max : 4000
y_r_kd^cur : 0
ch_angle^cur : 0.1
r_i_c^max : 50
a_kp^max : 100
r_c^cur : 100
r_kp^min : 0.000
r_kd^min : 0
ch_throttle^min : 0.0
ar_m^cur : 50
r_kd^prec : 0
r_kd^cur : 0
r_ki^prec : 4
a_ki^min : 0.0
y_a_kp^min : 0.0
a_kp^min : 0
y_a_kd^cur : 0
yaw_average^min : 0.0
r_i_c^cur : 10
y_a_kp^cur : 1.0
yaw_average^max : 1.0
throttle_max^max : 1800
throttle_min^min : 1400
r_c^max : 100
r_kp^prec : 3
throttle_max^cur : 1700
pitch_effect^cur : 50
r_kp^max : 0.100
ch_throttle^prec : 1
y_r_i_c^cur : 0
y_a_ki^cur : 0
a_kd^cur : 0
ch_throttle^max : 1.0
a_ki^max : 5.0
r_kp^cur : 0.035
gyro^min : 0.0
gyro^prec : 1
ch_angle^prec : 1
r_kd^max : 0
y_a_c^max : 300
yaw_effect^cur : 100
y_r_ki^cur : 0
a_kp^cur : 45
r_ki^cur : 0.0000
throttle_min^cur : 1400
a_ki^prec : 1
roll_effect^min : 0
pitch_effect^min : 0
a_c^cur : 3000
roll_effect^max : 50
r_ki^min : 0.0000
