1024
FIFO overflow!
cm 16614
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 3
y -7
p -1
r 1
cm 17904
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 19196
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 20492
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 21784
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 23080
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 24372
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 25667
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 26957
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 28246
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 29543
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 30831
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 32120
ry 0
rp 1
rr 1
ay -10
ap 24
ar 24
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 33482
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 34930
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 1
y -7
p -1
r 1
cm 36385
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 37833
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 39276
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 2
gr 2
y -7
p -1
r 1
cm 40724
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 42174
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 43628
ry 0
rp 1
rr 1
ay -10
ap 25
ar 25
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 45086
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 46530
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 47978
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 49425
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 50875
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 52324
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 53771
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 55221
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 56669
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 58124
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 59574
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 61033
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -7
p -1
r 1
cm 62483
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 63932
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 65386
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 66836
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 68285
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 69734
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 71182
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -7
p -1
r 1
cm 72632
ry 0
rp 1
rr 1
ay -10
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -8
p -1
r 1
cm 74083
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -8
p -1
r 1
cm 75532
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -8
p -1
r 1
cm 76981
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -8
p -1
r 1
cm 78428
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -8
p -1
r 1
cm 79875
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 1
y -8
p -1
r 1
cm 81326
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -8
p -1
r 1
cm 82774
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 1
gr 2
y -8
p -1
r 1
cm 84221
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -8
p -1
r 1
cm 85669
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -8
p -1
r 1
cm 87110
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
chp 0
chr 0
chy 0
bs 1330
m1 1331
m2 1331
gy 0
gp 0
gr 2
y -8
p -1
r 1
cm 88558
ry 0
rp 1
rr 1
ay -20
ap 45
ar 45
